100,2.29e-07
20098,2.92e-07
40096,3.12e-07
60094,2.08e-07
80092,7.81e-07
100090,3.64e-07
120088,4.16e-07
140086,2.19e-07
160084,3.33e-07
180082,2.6e-07
200080,3.33e-07
220078,3.75e-07
240076,2.81e-07
260074,4.16e-07
280072,4.47e-07
300070,2.08e-07
320068,4.06e-07
340066,8.64e-07
360064,3.33e-07
380062,4.37e-07
400060,3.75e-07
420058,1.98e-07
440056,3.54e-07
460054,3.33e-07
480052,7.18e-07
500050,1.98e-07
520048,2.19e-07
540046,2.6e-07
560044,3.58e-07
580042,2e-07
600040,2.84e-07
620038,5.26e-07
640036,3.16e-07
660034,5.1e-07
680032,3.33e-07
700030,3.65e-07
720028,3.65e-07
740026,3.75e-07
760024,4.69e-07
780022,4.99e-07
800020,2.81e-07
820018,1.87e-07
840016,2.1e-07
860014,4.09e-07
880012,2.72e-07
900010,3.66e-07
920008,3.45e-07
940006,5.23e-07
960004,3.14e-07
980002,4.27e-07
